City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Katsuura,JP,35.1333,140.3,42.8,65,75,9.22,broken clouds
140,Bani,DO,18.2833,-70.3333,86.0,62,40,11.5,scattered clouds
141,Mlonggo,ID,-6.5333,110.7,78.73,83,91,13.82,overcast clouds
142,Belyy Yar,RU,53.6039,91.3903,3.2,85,98,2.17,smoke
143,Srednekolymsk,RU,67.45,153.6833,-23.58,85,7,3.42,clear sky
144,Henties Bay,NA,-22.116,14.2845,64.99,89,34,3.0,scattered clouds
145,Beloha,MG,-25.1667,45.05,76.17,89,88,3.13,overcast clouds
146,Cabo San Lucas,MX,22.8909,-109.9124,82.0,29,20,8.05,few clouds
147,Salym,RU,60.0625,71.4789,21.65,98,100,6.89,overcast clouds
148,Hasaki,JP,35.7333,140.8333,35.6,93,75,4.61,broken clouds
149,Esperance,AU,-33.8667,121.9,57.2,94,40,5.75,light rain
150,Aparecida Do Taboado,BR,-20.0867,-51.0936,81.5,65,36,10.33,scattered clouds
151,Barranquilla,CO,10.9639,-74.7964,87.8,62,20,8.05,few clouds
152,Paamiut,GL,61.994,-49.6678,20.75,78,0,8.55,clear sky
153,Vaitape,PF,-16.5167,-151.75,81.46,64,1,5.41,clear sky
154,Mount Gambier,AU,-37.8333,140.7667,53.6,100,75,8.05,broken clouds
155,Bonavista,CA,48.6499,-53.1147,37.4,100,100,5.75,overcast clouds
156,Diu,IN,20.7141,70.9822,66.02,34,0,12.91,clear sky
157,Wageningen,NL,51.9667,5.6667,46.99,100,90,4.61,mist
158,Qianan,CN,44.9932,124.0581,11.84,93,100,5.84,overcast clouds
159,Salalah,OM,17.0151,54.0924,75.2,60,40,8.05,scattered clouds
160,Tabuk,PH,17.4189,121.4443,66.52,88,26,0.81,scattered clouds
161,Dargaville,NZ,-35.9333,173.8833,68.4,66,100,5.64,overcast clouds
162,Salinopolis,BR,-0.6136,-47.3561,81.95,75,90,11.48,overcast clouds
163,Saldanha,ZA,-33.0117,17.9442,64.4,77,0,10.36,clear sky
164,Port Elizabeth,ZA,-33.918,25.5701,69.8,94,90,9.22,overcast clouds
165,Lima,PE,-12.0432,-77.0282,75.99,73,75,12.66,broken clouds
166,Ulaangom,MN,49.9811,92.0667,-7.87,86,99,0.4,overcast clouds
167,Guaratinga,BR,-16.5667,-39.5667,82.4,69,20,19.57,few clouds
168,Along,IN,28.1667,94.7667,50.49,60,1,2.21,clear sky
169,Porto Novo,BJ,6.4965,2.6036,86.0,79,20,11.5,few clouds
170,Egvekinot,RU,66.3167,-179.1667,-9.98,93,100,18.81,snow
171,Nagornskiy,RU,58.7731,57.5451,35.01,100,100,13.18,overcast clouds
172,Saint-Georges,GD,12.0564,-61.7485,84.2,61,20,23.02,few clouds
173,Bathsheba,BB,13.2167,-59.5167,80.6,57,40,23.02,scattered clouds
174,Nhulunbuy,AU,-12.2333,136.7667,77.0,94,90,5.75,light rain
175,The Valley,AI,18.217,-63.0578,82.4,65,20,16.11,few clouds
176,Clifton,US,40.8584,-74.1638,46.4,65,1,3.44,clear sky
177,Ilo,PE,-17.6394,-71.3375,71.04,75,67,4.68,broken clouds
178,Hithadhoo,MV,-0.6,73.0833,82.58,76,99,10.92,overcast clouds
179,Grand Gaube,MU,-20.0064,57.6608,78.01,78,6,4.0,moderate rain
180,Tuatapere,NZ,-46.1333,167.6833,62.01,74,80,2.06,broken clouds
181,Haines Junction,CA,60.7522,-137.5108,-16.6,52,100,1.79,overcast clouds
182,Kanina,CD,-10.7341,25.4699,64.49,87,100,0.98,light rain
183,Denpasar,ID,-8.65,115.2167,78.8,89,75,6.91,light rain
184,Lunca Corbului,RO,44.7,24.75,40.59,82,7,3.02,clear sky
185,Madison Heights,US,42.4859,-83.1052,19.99,63,90,16.11,overcast clouds
186,Lasa,IT,46.6166,10.7002,39.0,86,0,3.27,clear sky
187,Iqaluit,CA,63.7506,-68.5145,23.0,80,75,26.46,snow
188,Bismil,TR,37.8486,40.6658,41.0,100,0,6.08,clear sky
189,Adrar,MR,20.5022,-10.0711,65.97,27,19,10.69,few clouds
190,Voi,KE,-3.3945,38.563,73.27,83,5,4.5,clear sky
191,Caravelas,BR,-17.7125,-39.2481,80.4,79,98,15.28,overcast clouds
192,Glendive,US,47.1053,-104.7125,16.0,73,75,13.8,light snow
193,Pahrump,US,36.2083,-115.9839,62.01,25,0,1.01,clear sky
194,Sola,VU,-13.8833,167.55,81.01,79,74,9.08,broken clouds
195,Sabya,SA,17.1495,42.6254,77.0,78,43,6.91,scattered clouds
196,Ilulissat,GL,69.2167,-51.1,8.6,40,1,9.22,clear sky
197,Murgab,TM,37.4966,61.9714,51.8,40,40,6.91,scattered clouds
198,Turiacu,BR,-1.6633,-45.3717,80.8,69,62,6.87,broken clouds
199,Nassau,US,40.7507,-73.5829,45.0,70,1,8.05,clear sky
200,Buin,CL,-33.7333,-70.75,78.01,50,0,8.05,clear sky
201,Salacgriva,LV,57.7536,24.3581,3.99,90,62,8.72,broken clouds
202,Abong Mbang,CM,3.9833,13.1833,72.93,29,100,1.54,overcast clouds
203,Mercedes,AR,-34.6515,-59.4307,87.01,42,0,5.01,clear sky
204,Port Pirie,AU,-33.1833,138.0167,64.4,72,90,10.36,overcast clouds
205,Hammerfest,NO,70.6634,23.6821,28.4,86,75,26.46,snow
206,Yulara,AU,-25.2406,130.9889,66.2,34,0,8.05,clear sky
207,Valdivia,CL,-39.8142,-73.2459,80.6,50,0,10.36,clear sky
208,Provideniya,RU,64.3833,-173.3,6.76,90,100,15.5,overcast clouds
209,San Policarpo,PH,12.1791,125.5072,80.22,83,86,10.22,overcast clouds
210,Roma,US,43.2128,-75.4557,37.4,75,90,6.91,light rain
211,Sur,OM,22.5667,59.5289,63.91,68,0,5.77,clear sky
212,Vangaindrano,MG,-23.35,47.6,77.59,87,99,6.13,overcast clouds
213,Olafsvik,IS,64.8945,-23.7142,38.14,76,100,23.49,overcast clouds
214,Banposh,IN,22.25,84.8,57.11,42,0,1.83,clear sky
215,Lyuban,BY,52.7985,28.0048,12.02,96,51,8.21,broken clouds
216,Kollam,IN,8.8833,76.6,80.6,74,20,8.25,mist
217,Ballina,AU,-28.8667,153.5667,69.8,94,75,1.14,broken clouds
218,Pandan,PH,14.0453,124.1694,77.86,87,81,8.68,broken clouds
219,Havre-Saint-Pierre,CA,50.2334,-63.5986,33.8,86,90,10.36,overcast clouds
220,Yumen,CN,40.2833,97.2,30.56,73,100,21.39,overcast clouds
221,Mount Isa,AU,-20.7333,139.5,80.6,69,90,13.8,overcast clouds
222,Kaitangata,NZ,-46.2817,169.8464,57.0,75,70,5.99,broken clouds
223,Verkhnevilyuysk,RU,63.4453,120.3167,-42.3,80,30,3.15,scattered clouds
224,Emba,KZ,48.8264,58.1442,32.68,94,100,14.32,overcast clouds
225,Vostok,RU,46.4856,135.8833,-0.83,93,100,2.8,overcast clouds
226,Belem De Sao Francisco,BR,-8.7539,-38.9658,92.23,31,96,7.43,overcast clouds
227,Slave Lake,CA,55.2834,-114.769,-11.2,64,20,13.8,few clouds
228,Havoysund,NO,70.9963,24.6622,32.0,64,75,21.85,light snow
229,Chuy,UY,-33.6971,-53.4616,67.84,68,24,13.29,few clouds
230,Avarua,CK,-21.2078,-159.775,84.2,70,20,9.22,few clouds
231,Basco,PH,20.4487,121.9702,72.72,78,97,14.83,overcast clouds
232,Simao,CN,22.7886,100.9748,51.3,85,12,1.23,few clouds
233,Norman Wells,CA,65.282,-126.8329,-25.6,68,75,11.5,snow
234,Vieques,PR,18.425,-65.8329,84.2,61,40,17.27,scattered clouds
235,Lorengau,PG,-2.0226,147.2712,80.17,77,100,1.7,overcast clouds
236,Dawei,MM,14.0833,98.2,70.23,62,0,3.44,clear sky
237,Fushun,CN,41.8558,123.9233,21.2,86,59,2.24,mist
238,Kupang,ID,-10.1667,123.5833,78.94,85,100,8.55,overcast clouds
239,Castellarano,IT,44.5131,10.7329,46.0,52,97,25.32,overcast clouds
240,Sibolga,ID,1.7427,98.7792,75.7,82,100,3.56,overcast clouds
241,Goderich,CA,43.7501,-81.7165,21.2,79,100,23.02,overcast clouds
242,Ocampo,MX,21.65,-101.5,76.91,15,0,16.11,clear sky
243,Shikohabad,IN,27.1,78.6,53.17,61,0,5.66,clear sky
244,Karasjok,NO,69.4719,25.5112,26.6,86,75,18.41,light snow
245,Tefe,BR,-3.3542,-64.7114,78.8,94,75,5.75,broken clouds
246,Ahuimanu,US,21.4447,-157.8378,73.4,64,20,6.91,few clouds
247,Half Moon Bay,US,37.4636,-122.4286,64.0,67,1,5.75,clear sky
248,Brae,GB,60.3964,-1.353,32.0,55,75,21.85,broken clouds
249,Hanmer Springs,NZ,-42.5167,172.8167,61.16,42,100,2.55,overcast clouds
250,Roros,NO,62.5747,11.3842,-7.6,71,40,1.14,scattered clouds
251,Kearney,US,40.6995,-99.0815,33.8,80,1,11.5,clear sky
252,Dubbo,AU,-32.25,148.6167,69.8,94,90,6.91,overcast clouds
253,Port Moresby,PG,-9.4431,147.1797,73.4,100,20,6.91,few clouds
254,Saint-Leu,RE,-21.15,55.2833,77.0,55,38,4.83,scattered clouds
255,Skibbereen,IE,51.55,-9.2667,41.0,87,75,9.22,broken clouds
256,Samarai,PG,-10.6167,150.6667,81.63,77,12,3.47,few clouds
257,Tadine,NC,-21.55,167.8833,79.5,79,0,7.83,clear sky
258,Payson,US,40.0444,-111.7321,37.99,52,90,9.22,overcast clouds
259,Talnakh,RU,69.4865,88.3972,-26.39,84,93,5.1,overcast clouds
260,Sioux Lookout,CA,50.1001,-91.917,-4.0,71,90,11.5,snow
261,Heyang,CN,26.1011,107.473,47.41,87,70,0.89,broken clouds
262,Asfi,MA,32.2994,-9.2372,57.61,73,100,5.86,overcast clouds
263,Bud,US,39.447,-86.1758,32.0,71,100,18.1,overcast clouds
264,Sitka,US,57.0531,-135.33,35.6,93,90,4.61,light rain
265,Inta,RU,66.0317,60.1659,-7.35,90,95,11.36,overcast clouds
266,Huntingdon,GB,52.3305,-0.1865,44.01,91,85,7.07,overcast clouds
267,Berdigestyakh,RU,62.0989,126.6992,-41.31,78,38,3.47,scattered clouds
268,Cambridge,CA,43.3601,-80.3127,18.0,79,90,23.02,light snow
269,Visnes,NO,59.3556,5.2242,28.0,62,0,3.44,clear sky
270,Zhigansk,RU,66.7697,123.3711,-42.23,75,68,3.62,broken clouds
271,Zeya,RU,53.75,127.2667,-20.45,81,90,1.36,overcast clouds
272,Hami,CN,42.8,93.45,29.19,85,99,2.82,overcast clouds
273,Te Anau,NZ,-45.4167,167.7167,62.65,76,79,0.98,broken clouds
274,Ferrandina,IT,40.5012,16.4547,57.2,88,90,4.61,overcast clouds
275,Vidim,RU,56.4088,103.1106,1.96,93,100,5.53,overcast clouds
276,Igbo Ora,NG,7.4333,3.2833,81.66,74,34,8.41,scattered clouds
277,Padang,ID,-0.9492,100.3543,75.2,94,90,2.3,overcast clouds
278,Dayong,CN,25.0209,118.2898,57.2,94,2,1.88,mist
279,Zhigalovo,RU,54.8097,105.1578,2.44,91,100,3.29,overcast clouds
280,San Patricio,US,28.017,-97.5169,64.4,55,90,10.36,overcast clouds
281,Airai,TL,-8.9266,125.4092,61.86,100,100,3.94,overcast clouds
282,Nanortalik,GL,60.1432,-45.2371,20.44,75,0,3.09,clear sky
283,Hay River,CA,60.8156,-115.7999,-23.8,69,100,10.36,overcast clouds
284,Hamilton,US,39.1834,-84.5333,37.0,51,90,19.57,overcast clouds
285,Sar-E Pul,AF,35.8333,66.1667,42.06,45,97,8.68,overcast clouds
286,Liberal,US,37.0431,-100.921,48.2,31,1,6.91,clear sky
287,Gazanjyk,TM,39.2446,55.5154,58.44,37,100,12.64,overcast clouds
288,Viedma,AR,-40.8135,-62.9967,102.0,17,0,10.94,clear sky
289,Terra Santa,BR,-2.1042,-56.4869,92.25,46,5,2.91,clear sky
290,Ewa Beach,US,21.3156,-158.0072,73.4,56,75,4.61,broken clouds
291,Treinta Y Tres,UY,-33.2333,-54.3833,69.89,63,1,10.09,clear sky
292,Tianpeng,CN,30.9866,103.9393,45.0,81,0,0.58,clear sky
293,Balkanabat,TM,39.5108,54.3671,56.62,55,100,11.88,overcast clouds
294,Faya,SA,18.3851,42.4509,57.2,50,20,17.27,few clouds
295,Fairbanks,US,64.8378,-147.7164,-8.0,76,20,2.24,few clouds
296,Igrim,RU,63.1906,64.4162,3.11,94,100,7.61,light snow
297,Vila Velha,BR,-20.3297,-40.2925,88.0,74,75,18.41,broken clouds
298,Kandava,LV,57.0409,22.7747,13.33,96,47,5.73,scattered clouds
299,Lincoln,US,40.8,-96.667,27.0,54,75,5.75,broken clouds
300,Makakilo City,US,21.3469,-158.0858,73.4,56,75,4.61,broken clouds
301,Hambantota,LK,6.1241,81.1185,77.56,75,100,14.72,overcast clouds
302,Lagoa,PT,39.05,-27.9833,58.35,86,100,16.69,overcast clouds
303,Uttaradit,TH,17.6667,100.5,66.99,99,3,2.33,clear sky
304,Pella,RU,59.7775,30.8181,12.0,78,75,11.18,snow
305,Voh,NC,-20.9667,164.7,79.66,78,18,2.42,few clouds
306,Srandakan,ID,-7.9386,110.2506,75.47,87,75,5.12,broken clouds
307,Shache,CN,38.4167,77.2406,27.79,83,0,2.19,clear sky
308,Pisco,PE,-13.7,-76.2167,78.8,61,0,14.97,clear sky
309,Lano,NG,10.1725,11.4715,74.21,22,0,8.72,clear sky
310,Coihaique,CL,-45.5752,-72.0662,86.0,30,0,8.05,clear sky
311,Laguna,US,38.421,-121.4238,62.01,51,1,3.89,clear sky
312,Yerbogachen,RU,61.2767,108.0108,-9.09,90,100,2.86,overcast clouds
313,Santa Cruz,BO,-17.8,-63.1667,89.6,37,40,11.5,scattered clouds
314,San Quintin,MX,30.4833,-115.95,62.02,62,0,10.78,clear sky
315,Kurduvadi,IN,18.0833,75.4333,69.93,33,0,5.75,clear sky
316,Maceio,BR,-9.6658,-35.7353,82.4,74,0,16.11,clear sky
317,East London,ZA,-33.0153,27.9116,73.47,87,100,10.69,light rain
318,Rio Gallegos,AR,-51.6226,-69.2181,64.4,20,40,27.63,scattered clouds
319,Mazatlan,MX,23.2167,-106.4167,77.0,61,1,8.05,clear sky
320,Belle Fourche,US,44.6714,-103.8522,30.0,68,40,9.22,scattered clouds
321,Soverato,IT,38.685,16.5499,59.0,93,86,6.91,overcast clouds
322,Deputatskiy,RU,69.3,139.9,-30.42,86,83,0.83,broken clouds
323,Gamba,GA,-2.65,10.0,78.4,87,99,2.46,overcast clouds
324,New Kensington,US,40.5698,-79.7648,34.0,69,100,7.0,overcast clouds
325,Puerto Rondon,CO,6.2805,-71.1,89.17,53,99,9.71,overcast clouds
326,Aykhal,RU,66.0,111.5,-34.69,80,45,3.65,scattered clouds
327,La Ronge,CA,55.1001,-105.2842,-18.4,57,92,10.36,overcast clouds
328,Tupiza,BO,-21.45,-65.7167,70.74,40,100,15.66,overcast clouds
329,Kununurra,AU,-15.7667,128.7333,77.0,64,40,10.69,scattered clouds
330,Ixtapa,MX,20.7,-105.2,75.2,69,1,10.36,clear sky
331,Sarankhola,BD,22.3082,89.7897,60.28,64,0,4.38,clear sky
332,Seoul,KR,37.5683,126.9778,39.2,75,75,5.75,broken clouds
333,Volchikha,RU,52.0333,80.3833,23.47,98,91,5.1,overcast clouds
334,Kupiskis,LT,55.8333,24.9667,5.63,95,86,4.36,overcast clouds
335,Launceston,AU,-41.45,147.1667,64.4,94,90,8.05,overcast clouds
336,Santa Maria,BR,-29.6842,-53.8069,75.2,53,75,6.91,broken clouds
